experiment_id,model,stage,step,seed,timestamp,n_items,n_probe,n_train_texts,base_probe_mean_margin,base_probe_accuracy,base_probe_mean_nll,base_control_mean_margin,base_control_accuracy,post_injection_mean_margin,post_injection_accuracy,post_injection_mean_nll,uptake_margin_delta,uptake_accuracy_delta,injection_train_steps,injection_final_loss,post_continuation_mean_margin,post_continuation_accuracy,post_continuation_mean_nll,normalized_retention_margin,normalized_retention_accuracy,continuation_train_steps,continuation_final_loss,k_star_accuracy_threshold,degradation_auc_accuracy,degradation_auc_margin,degradation_final_accuracy,degradation_final_margin
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-07T10:36:46+0000,300,200,900,-0.43874215126037597,0.225,11.042428631782531,-0.403396954536438,0.195,-0.25288272500038145,0.41,5.089542003870011,0.18585942625999452,0.18499999999999997,600,0.7791742086410522,-0.7868455600738525,0.26,8.119570152759552,-1.8729392198086452,0.18918918918918923,500,7.2208943367004395,0.0,80.92999999999999,-180.79925122022627,0.31,-0.7143099820613861
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-07T10:40:57+0000,300,200,900,-0.4137381887435913,0.185,11.012007422447205,-0.4780512189865112,0.18,-0.1918882179260254,0.48,4.5738851046562194,0.2218499708175659,0.295,600,0.8947799205780029,-0.7889573574066162,0.25,8.260390446186065,-1.6913194411532253,0.22033898305084748,500,7.2324700355529785,0.0,97.22000000000001,-123.16040900349616,0.33,-0.5404672938585281
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-07T10:44:42+0000,300,200,900,-0.46287697315216064,0.195,11.015091466903687,-0.4703330993652344,0.17,-0.035949997901916504,0.495,4.433163112401962,0.42692697525024415,0.3,600,0.7856820225715637,-0.6194463181495666,0.3,8.12588265657425,-0.36673565755743714,0.35,500,7.218785762786865,0.0,96.67,-105.4197786653042,0.385,-0.4302324640750885
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,3,2026-06-07T10:48:20+0000,300,200,900,-0.42819986343383787,0.175,10.978568921089172,-0.5299411725997925,0.22,-0.14882396459579467,0.42,4.728611983060837,0.2793758988380432,0.245,600,0.8711305856704712,-0.8432559275627136,0.24,8.239332058429717,-1.4856545101246819,0.2653061224489796,500,7.2237725257873535,0.0,82.46000000000001,-149.1272767305374,0.295,-0.7184610223770141
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step0,0,4,2026-06-07T10:52:01+0000,300,200,900,-0.4247987937927246,0.215,11.013431234359741,-0.34399324893951416,0.21,-0.15980376958847045,0.495,5.038175976276397,0.26499502420425414,0.28,600,0.9044075012207031,-0.8035154151916504,0.28,8.131605834960938,-1.4291461605219302,0.23214285714285723,500,7.2245774269104,0.0,91.38,-176.27031157016756,0.3,-0.836246565580368
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,0,2026-06-07T10:56:09+0000,300,200,900,-0.43874215126037597,0.225,11.042428631782531,-0.403396954536438,0.195,-0.25288272500038145,0.41,5.089542003870011,0.18585942625999452,0.18499999999999997,600,0.7791742086410522,-0.7868455600738525,0.26,8.119570152759552,-1.8729392198086452,0.18918918918918923,500,7.2208943367004395,0.0,80.92999999999999,-180.79925122022627,0.31,-0.7143099820613861
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,1,2026-06-07T11:00:06+0000,300,200,900,-0.4137381887435913,0.185,11.012007422447205,-0.4780512189865112,0.18,-0.1918882179260254,0.48,4.5738851046562194,0.2218499708175659,0.295,600,0.8947799205780029,-0.7889573574066162,0.25,8.260390446186065,-1.6913194411532253,0.22033898305084748,500,7.2324700355529785,0.0,97.22000000000001,-123.16040900349616,0.33,-0.5404672938585281
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,2,2026-06-07T11:03:53+0000,300,200,900,-0.46287697315216064,0.195,11.015091466903687,-0.4703330993652344,0.17,-0.035949997901916504,0.495,4.433163112401962,0.42692697525024415,0.3,600,0.7856820225715637,-0.6194463181495666,0.3,8.12588265657425,-0.36673565755743714,0.35,500,7.218785762786865,0.0,96.67,-105.4197786653042,0.385,-0.4302324640750885
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,3,2026-06-07T11:07:37+0000,300,200,900,-0.42819986343383787,0.175,10.978568921089172,-0.5299411725997925,0.22,-0.14882396459579467,0.42,4.728611983060837,0.2793758988380432,0.245,600,0.8711305856704712,-0.8432559275627136,0.24,8.239332058429717,-1.4856545101246819,0.2653061224489796,500,7.2237725257873535,0.0,82.46000000000001,-149.1272767305374,0.295,-0.7184610223770141
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,4,2026-06-07T11:11:47+0000,300,200,900,-0.4247987937927246,0.215,11.013431234359741,-0.34399324893951416,0.21,-0.15980376958847045,0.495,5.038175976276397,0.26499502420425414,0.28,600,0.9044075012207031,-0.8035154151916504,0.28,8.131605834960938,-1.4291461605219302,0.23214285714285723,500,7.2245774269104,0.0,91.38,-176.27031157016756,0.3,-0.836246565580368
